"EXPEDITION_IN_CODE";"EXPEDITION_IN_CITY";"EXPEDITION_IN_DISTRICT";"EXPEDITION_IN_PROVINCE";"EXPEDITION_IN_PRICE_REG";"EXPEDITION_IN_PRICE_REG_ETD";"EXPEDITION_IN_PRICE_CARGO";"EXPEDITION_IN_PRICE_CARGO_ETD";"EXPEDITION_IN_PRICE_BEST";"EXPEDITION_IN_PRICE_BEST_ETD"
"AMQ10000";"Kota Ambon";"Ambon";"";58000;"2-3";35000;"";0;""
"AMQ10005";"Kota Ambon";"Nusaniwe";"";58000;"2-3";35000;"";0;""
"AMQ10006";"Kota Ambon";"Sirimau";"";58000;"2-3";35000;"";0;""
"AMQ10007";"Kota Ambon";"Teluk Ambon Baguala";"";113000;"5-7";68000;"";0;""
"AMQ10008";"Kota Ambon";"Teluk Ambon";"";113000;"5-7";68000;"";0;""
"AMQ10009";"Kota Ambon";"Leitimur Selatan";"";58000;"2-3";35000;"";0;""
"AMQ20100";"Kab. Maluku Tengah";"Kota Masohi";"";113000;"5-7";68000;"";0;""
"AMQ20101";"Kab. Maluku Tengah";"Banda";"";170000;"10-20";102000;"";0;""
"AMQ20107";"Kab. Maluku Tengah";"Leihitu";"";170000;"10-20";102000;"";0;""
"AMQ20108";"Kab. Maluku Tengah";"Pulau Haruku";"";170000;"10-20";102000;"";0;""
"AMQ20110";"Kab. Maluku Tengah";"Sala Hutu";"";113000;"5-7";68000;"";0;""
"AMQ20113";"Kab. Maluku Tengah";"Seram Utara";"";170000;"10-20";102000;"";0;""
"AMQ20115";"Kab. Maluku Tengah";"Tehoru";"";170000;"10-20";102000;"";0;""
"AMQ20116";"Kab. Maluku Tengah";"Teon Nila Serua";"";170000;"10-20";102000;"";0;""
"AMQ20118";"Kab. Maluku Tengah";"Amahai";"";170000;"10-20";102000;"";0;""
"AMQ20119";"Kab. Maluku Tengah";"Nusa Laut";"";170000;"10-20";102000;"";0;""
"AMQ20121";"Kab. Maluku Tengah";"Saparua";"";170000;"10-20";102000;"";0;""
"AMQ20200";"Kab. Maluku Tenggara";"Tual";"";90000;"3-5";54000;"";0;""
"AMQ20201";"Kab. Maluku Tenggara";"Kei Besar";"";170000;"10-20";102000;"";0;""
"AMQ20208";"Kab. Maluku Tenggara";"Kei Besar Selatan";"";170000;"10-20";102000;"";0;""
"AMQ20209";"Kab. Maluku Tenggara";"Kei Besar Utara Timur";"";170000;"10-20";102000;"";0;""
"AMQ20210";"Kab. Maluku Tenggara";"Kei Kecil";"";170000;"10-20";102000;"";0;""
"AMQ20211";"Kab. Maluku Tenggara";"Pulau-Pulau Kur";"";170000;"10-20";102000;"";0;""
"AMQ20213";"Kab. Maluku Tenggara";"Manyeuw";"";170000;"10-20";102000;"";0;""
"AMQ20214";"Kab. Maluku Tenggara";"Kei Kecil Timur Selatan";"";170000;"10-20";102000;"";0;""
"AMQ20215";"Kab. Maluku Tenggara";"Kei Kecil Timur";"";170000;"10-20";102000;"";0;""
"AMQ20216";"Kab. Maluku Tenggara";"Kei Kecil Barat";"";170000;"10-20";102000;"";0;""
"AMQ20217";"Kab. Maluku Tenggara";"Kei Besar Utara Barat";"";170000;"10-20";102000;"";0;""
"AMQ20218";"Kab. Maluku Tenggara";"Kei Besar Selatan Barat";"";170000;"10-20";102000;"";0;""
"AMQ20219";"Kab. Maluku Tenggara";"Hoat Sorbay";"";170000;"10-20";102000;"";0;""
"AMQ20252";"Kota Tual";"Pulau Dullah Utara";"";170000;"10-20";102000;"";0;""
"AMQ20253";"Kota Tual";"Pulau Dullah Selatan";"";170000;"10-20";102000;"";0;""
"AMQ20254";"Kota Tual";"Kur Selatan";"";170000;"10-20";102000;"";0;""
"AMQ20255";"Kota Tual";"Tayando Tam";"";170000;"10-20";102000;"";0;""
"AMQ20300";"Kab. Buru";"Namlea";"";113000;"5-7";68000;"";0;""
"AMQ20301";"Kab. Buru";"Air Buaya / Buru Utara Barat";"";170000;"10-20";102000;"";0;""
"AMQ20302";"Kab. Buru";"Leksula / Buru Selatan";"";170000;"10-20";102000;"";0;""
"AMQ20303";"Kab. Buru";"Waesama";"";170000;"10-20";102000;"";0;""
"AMQ20304";"Kab. Buru";"Wayapo / Buru Utara Timur";"";170000;"10-20";102000;"";0;""
"AMQ20305";"Kab. Buru";"Waplau";"";170000;"10-20";102000;"";0;""
"AMQ20306";"Kab. Buru";"Waelata";"";170000;"10-20";102000;"";0;""
"AMQ20307";"Kab. Buru";"Teluk Kaiely";"";170000;"10-20";102000;"";0;""
"AMQ20308";"Kab. Buru";"Lolong Guba";"";170000;"10-20";102000;"";0;""
"AMQ20309";"Kab. Buru";"Lilialy";"";170000;"10-20";102000;"";0;""
"AMQ20310";"Kab. Buru";"Fena Leisela";"";170000;"10-20";102000;"";0;""
"AMQ20311";"Kab. Buru";"Batabual";"";170000;"10-20";102000;"";0;""
"AMQ20313";"Kab. Buru Selatan";"Namrole";"";170000;"10-20";102000;"";0;""
"AMQ20314";"Kab. Buru Selatan";"Kepala Madan";"";170000;"10-20";102000;"";0;""
"AMQ20315";"Kab. Buru Selatan";"Fena Fafan";"";170000;"10-20";102000;"";0;""
"AMQ20316";"Kab. Buru Selatan";"Ambalau";"";170000;"10-20";102000;"";0;""
"AMQ20400";"Kab. Kepulauan Aru";"Dobo";"";170000;"10-20";102000;"";0;""
"AMQ20401";"Kab. Kepulauan Aru";"Pulau-Pulau Aru";"";170000;"10-20";102000;"";0;""
