Kode,Kode2015,Kota,Kecamatan,CityCode,CGKReg,CGKRegEtd,CGKCargo,CGKYes
AMQ10000,AMQ10000,Kota Ambon,Ambon,AMQ,58000,2-3,35000,0
AMQ10005,AMQ10005,Kota Ambon,Nusaniwe,AMQ,58000,2-3,35000,0
AMQ10006,AMQ10006,Kota Ambon,Sirimau,AMQ,58000,2-3,35000,0
AMQ10007,AMQ10007,Kota Ambon,Teluk Ambon Baguala,AMQ,113000,5-7,68000,0
AMQ10008,AMQ10008,Kota Ambon,Teluk Ambon,AMQ,113000,5-7,68000,0
AMQ10009,AMQ10009,Kota Ambon,Leitimur Selatan,AMQ,58000,2-3,35000,0
AMQ20100,AMQ20100,Kab. Maluku Tengah,Kota Masohi,AMQ,113000,5-7,68000,0
AMQ20101,AMQ20101,Kab. Maluku Tengah,Banda,AMQ,170000,10-20,102000,0
AMQ20107,AMQ20107,Kab. Maluku Tengah,Leihitu,AMQ,170000,10-20,102000,0
AMQ20108,AMQ20108,Kab. Maluku Tengah,Pulau Haruku,AMQ,170000,10-20,102000,0
AMQ20110,AMQ20110,Kab. Maluku Tengah,Sala Hutu,AMQ,113000,5-7,68000,0
AMQ20113,AMQ20113,Kab. Maluku Tengah,Seram Utara,AMQ,170000,10-20,102000,0
AMQ20115,AMQ20115,Kab. Maluku Tengah,Tehoru,AMQ,170000,10-20,102000,0
AMQ20116,AMQ20116,Kab. Maluku Tengah,Teon Nila Serua,AMQ,170000,10-20,102000,0
AMQ20118,AMQ20118,Kab. Maluku Tengah,Amahai,AMQ,170000,10-20,102000,0
AMQ20119,AMQ20119,Kab. Maluku Tengah,Nusa Laut,AMQ,170000,10-20,102000,0
AMQ20121,AMQ20121,Kab. Maluku Tengah,Saparua,AMQ,170000,10-20,102000,0
AMQ20200,AMQ20200,Kab. Maluku Tenggara,Tual,AMQ,90000,3-5,54000,0
AMQ20201,AMQ20201,Kab. Maluku Tenggara,Kei Besar,AMQ,170000,10-20,102000,0
AMQ20208,AMQ20208,Kab. Maluku Tenggara,Kei Besar Selatan,AMQ,170000,10-20,102000,0
AMQ20209,AMQ20209,Kab. Maluku Tenggara,Kei Besar Utara Timur,AMQ,170000,10-20,102000,0
AMQ20210,AMQ20210,Kab. Maluku Tenggara,Kei Kecil,AMQ,170000,10-20,102000,0
AMQ20211,AMQ20211,Kab. Maluku Tenggara,Pulau-Pulau Kur,AMQ,170000,10-20,102000,0
AMQ20213,AMQ20213,Kab. Maluku Tenggara,Manyeuw,AMQ,170000,10-20,102000,0
AMQ20214,AMQ20214,Kab. Maluku Tenggara,Kei Kecil Timur Selatan,AMQ,170000,10-20,102000,0
AMQ20215,AMQ20215,Kab. Maluku Tenggara,Kei Kecil Timur,AMQ,170000,10-20,102000,0
AMQ20216,AMQ20216,Kab. Maluku Tenggara,Kei Kecil Barat,AMQ,170000,10-20,102000,0
AMQ20217,AMQ20217,Kab. Maluku Tenggara,Kei Besar Utara Barat,AMQ,170000,10-20,102000,0
AMQ20218,AMQ20218,Kab. Maluku Tenggara,Kei Besar Selatan Barat,AMQ,170000,10-20,102000,0
AMQ20219,AMQ20219,Kab. Maluku Tenggara,Hoat Sorbay,AMQ,170000,10-20,102000,0
AMQ20252,AMQ20252,Kota Tual,Pulau Dullah Utara,AMQ,170000,10-20,102000,0
AMQ20253,AMQ20253,Kota Tual,Pulau Dullah Selatan,AMQ,170000,10-20,102000,0
AMQ20254,AMQ20254,Kota Tual,Kur Selatan,AMQ,170000,10-20,102000,0
AMQ20255,AMQ20255,Kota Tual,Tayando Tam,AMQ,170000,10-20,102000,0
AMQ20300,AMQ20300,Kab. Buru,Namlea,AMQ,113000,5-7,68000,0
AMQ20301,AMQ20301,Kab. Buru,Air Buaya / Buru Utara Barat,AMQ,170000,10-20,102000,0
AMQ20302,AMQ20302,Kab. Buru,Leksula / Buru Selatan,AMQ,170000,10-20,102000,0
AMQ20303,AMQ20303,Kab. Buru,Waesama,AMQ,170000,10-20,102000,0
AMQ20304,AMQ20304,Kab. Buru,Wayapo / Buru Utara Timur,AMQ,170000,10-20,102000,0
